State,County,ZIP,Average of Latitude,Average of Longitude,EVs on the Road,EVs per 1k People,EVs per Level 2 Port,Current Population
New Jersey,Bergen County,7646,40.93,-74.02,545,32.07,,"16,995"
New Jersey,Bergen County,7647,41,-73.95,237,44.82,19.75,"5,288"
New Jersey,Bergen County,7648,40.99,-73.95,376,65.69,94,"5,724"
New Jersey,Bergen County,7649,40.95,-74.03,415,50.39,207.5,"8,235"
New Jersey,Bergen County,7650,40.84,-73.99,921,45.39,115.13,"20,290"
New Jersey,Bergen County,7652,40.94,-74.07,"1,696",63.84,30.29,"26,568"
New Jersey,Bergen County,7653,40.94,-74.07,3,0,,
New Jersey,Bergen County,7656,41.03,-74.04,318,33.81,45.43,"9,406"
New Jersey,Bergen County,7657,40.83,-74.01,383,33.31,191.5,"11,498"
New Jersey,Bergen County,7660,40.85,-74.02,296,22.36,,"13,235"
New Jersey,Bergen County,7661,40.92,-74.04,607,50.2,,"12,091"
New Jersey,Bergen County,7662,40.91,-74.08,156,26.58,39,"5,869"
New Jersey,Bergen County,7663,40.9,-74.09,372,25.8,23.25,"14,419"
New Jersey,Bergen County,7666,40.88,-74.01,"1,548",36.97,110.57,"41,876"
New Jersey,Bergen County,7670,40.91,-73.95,"1,469",95.89,734.5,"15,319"
New Jersey,Bergen County,7675,41,-74,"1,357",49.62,41.12,"27,349"
New Jersey,Bergen County,7676,40.98,-74.06,325,34.86,,"9,323"
New Jersey,Bergen County,7677,41.02,-74.05,"1,507",244.96,376.75,"6,152"
New Jersey,Bergen County,7699,40.85,-74.06,,,,
New Jersey,Monmouth County,7701,40.36,-74.08,584,23.96,29.2,"24,376"
New Jersey,Monmouth County,7702,40.32,-74.05,153,36.61,76.5,"4,179"
New Jersey,Monmouth County,7703,40.32,-74.04,1,0,,0
New Jersey,Monmouth County,7704,40.36,-74.03,311,50.41,,"6,170"
New Jersey,Monmouth County,7709,40.23,-74,,,,
New Jersey,Monmouth County,7710,40.21,-74.25,3,0,,
New Jersey,Monmouth County,7711,40.24,-74.01,160,97.5,,"1,641"
New Jersey,Monmouth County,7712,40.22,-74.01,"1,096",27.27,42.15,"40,194"
New Jersey,Monmouth County,7715,40.17,-74.02,,,,
New Jersey,Monmouth County,7716,40.4,-74.03,288,32.39,36,"8,893"
New Jersey,Monmouth County,7717,40.19,-74.01,49,24.14,,"2,030"
New Jersey,Monmouth County,7718,40.42,-74.09,96,14.42,,"6,658"
New Jersey,Monmouth County,7719,40.17,-74.02,586,26.47,25.48,"22,138"
New Jersey,Monmouth County,7720,40.2,-74.01,111,26.7,,"4,158"
New Jersey,Monmouth County,7721,40.44,-74.23,149,34.84,,"4,277"
New Jersey,Monmouth County,7722,40.28,-74.16,628,62.86,,"9,990"
New Jersey,Monmouth County,7723,40.25,-74,286,323.53,,884
New Jersey,Monmouth County,7724,40.29,-74.05,728,30.31,48.53,"24,016"
New Jersey,Monmouth County,7726,40.29,-74.36,"2,197",49.08,366.17,"44,764"
New Jersey,Monmouth County,7727,40.19,-74.17,307,39.42,153.5,"7,787"
New Jersey,Monmouth County,7728,40.25,-74.27,"1,714",30.62,122.43,"55,984"
New Jersey,Monmouth County,7730,40.42,-74.17,319,18.19,,"17,534"
New Jersey,Monmouth County,7731,40.14,-74.19,886,21.97,55.38,"40,322"
New Jersey,Monmouth County,7732,40.4,-73.99,134,29.6,11.17,"4,527"
New Jersey,Monmouth County,7733,40.37,-74.17,"1,156",67.34,165.14,"17,166"
New Jersey,Monmouth County,7734,40.44,-74.13,154,11.91,,"12,925"
New Jersey,Monmouth County,7735,40.43,-74.2,368,19.21,61.33,"19,159"
New Jersey,Monmouth County,7737,40.41,-74.06,67,16.98,,"3,945"
New Jersey,Monmouth County,7738,40.34,-74.12,279,40.21,23.25,"6,939"
New Jersey,Monmouth County,7739,40.33,-74.03,271,44.39,,"6,105"
New Jersey,Monmouth County,7740,40.29,-73.98,885,26.89,73.75,"32,917"
New Jersey,Monmouth County,7746,40.31,-74.25,"1,284",69.5,,"18,476"
New Jersey,Monmouth County,7747,40.41,-74.23,912,28.21,114,"32,330"
New Jersey,Monmouth County,7748,40.39,-74.11,782,27.31,,"28,633"
New Jersey,Monmouth County,7750,40.33,-73.98,157,48.96,,"3,207"
New Jersey,Monmouth County,7751,40.36,-74.25,"1,506",71.34,376.5,"21,109"
New Jersey,Monmouth County,7752,40.39,-74.11,4,0,,
New Jersey,Monmouth County,7753,40.21,-74.08,678,18.18,61.64,"37,297"
New Jersey,Monmouth County,7754,40.21,-74.08,3,0,,
New Jersey,Monmouth County,7755,40.26,-74.02,581,103.51,145.25,"5,613"
New Jersey,Monmouth County,7756,40.21,-74.01,70,22.64,,"3,092"
New Jersey,Monmouth County,7757,40.31,-74.02,225,36.32,,"6,195"
New Jersey,Monmouth County,7758,40.43,-74.1,107,26.25,,"4,076"
New Jersey,Monmouth County,7760,40.36,-74,620,63.97,,"9,692"
New Jersey,Monmouth County,7762,40.15,-74.02,234,28.32,,"8,262"
New Jersey,Monmouth County,7763,40.29,-74.36,2,0,,
