State,County,ZIP,Average of Latitude,Average of Longitude,EVs on the Road,EVs per 1k People,EVs per Level 2 Port,Current Population
New Jersey,Atlantic County,8240,39.49,-74.53,3,1.13,,"2,648"
New Jersey,Atlantic County,8241,39.53,-74.48,34,31.6,,"1,076"
New Jersey,Cape May County,8242,39.02,-74.87,31,7.49,,"4,141"
New Jersey,Cape May County,8243,39.15,-74.69,57,28.5,,"2,000"
New Jersey,Atlantic County,8244,39.31,-74.6,126,11.82,,"10,659"
New Jersey,Cape May County,8245,39.18,-74.82,1,43.48,,23
New Jersey,Cape May County,8246,39.18,-74.77,3,52.63,,57
New Jersey,Cape May County,8247,39.04,-74.76,28,29.02,,965
New Jersey,Cape May County,8248,39.19,-74.66,7,26.32,,266
New Jersey,Cape May County,8250,39.28,-74.78,,,,
New Jersey,Cape May County,8251,39.01,-74.93,81,7.71,,"10,503"
New Jersey,Cape May County,8252,39.04,-74.86,,,,
New Jersey,Cape May County,8260,38.98,-74.82,195,15.05,11.47,"12,959"
New Jersey,Cape May County,8270,39.22,-74.8,67,8.01,16.75,"8,362"
New Jersey,Cumberland County,8302,39.42,-75.22,230,4.86,,"47,279"
New Jersey,Atlantic County,8310,39.53,-74.9,16,16.53,,968
New Jersey,Cumberland County,8311,39.32,-75.2,7,4.01,,"1,746"
New Jersey,Gloucester County,8312,39.65,-75.08,95,11.1,47.5,"8,556"
New Jersey,Cumberland County,8313,39.49,-75.21,,,,
New Jersey,Cumberland County,8314,39.22,-74.94,3,6.61,,454
New Jersey,Cumberland County,8315,39.22,-75.13,1,0,,
New Jersey,Cumberland County,8316,39.27,-74.95,4,29.2,,137
New Jersey,Atlantic County,8317,39.4,-74.82,6,4.82,,"1,246"
New Jersey,Salem County,8318,39.59,-75.17,115,9.61,57.5,"11,961"
New Jersey,Atlantic County,8319,39.37,-74.81,18,14.94,,"1,205"
New Jersey,Cumberland County,8320,39.39,-75.16,2,1.96,,"1,021"
New Jersey,Cumberland County,8321,39.22,-75.13,2,15.04,,133
New Jersey,Gloucester County,8322,39.61,-75.02,136,13.33,,"10,202"
New Jersey,Cumberland County,8323,39.39,-75.36,12,16.42,,731
New Jersey,Cumberland County,8324,39.24,-74.99,3,14.29,,210
New Jersey,Atlantic County,8326,39.52,-74.93,8,5.57,,"1,435"
New Jersey,Cumberland County,8327,39.25,-74.96,1,0.29,,"3,408"
New Jersey,Gloucester County,8328,39.57,-75.06,15,10.16,,"1,476"
New Jersey,Cumberland County,8329,39.29,-75.01,6,37.74,,159
New Jersey,Atlantic County,8330,39.45,-74.72,490,16.35,122.5,"29,972"
New Jersey,Cumberland County,8332,39.39,-75.05,253,7.18,,"35,228"
New Jersey,Atlantic County,8340,39.44,-74.86,7,9.66,,725
New Jersey,Atlantic County,8341,39.52,-74.96,12,5.71,,"2,101"
New Jersey,Atlantic County,8342,39.46,-74.72,,,,
New Jersey,Gloucester County,8343,39.64,-75.16,70,14.8,,"4,729"
New Jersey,Gloucester County,8344,39.54,-75.01,75,13.48,,"5,564"
New Jersey,Cumberland County,8345,39.28,-75.16,1,1.21,,825
New Jersey,Atlantic County,8346,39.56,-74.85,7,24.73,,283
New Jersey,Salem County,8347,39.54,-75.13,,,,
New Jersey,Cumberland County,8348,39.31,-74.97,2,12.99,,154
New Jersey,Cumberland County,8349,39.24,-75.04,7,2.87,,"2,441"
New Jersey,Atlantic County,8350,39.49,-74.88,7,10.95,,639
New Jersey,Cumberland County,8352,39.48,-75.13,7,62.5,,112
New Jersey,Cumberland County,8353,39.46,-75.29,2,8.77,,228
New Jersey,Cumberland County,8360,39.5,-75.01,300,6.66,,"45,038"
New Jersey,Cumberland County,8361,39.46,-74.99,274,15.05,,"18,206"
New Jersey,Cumberland County,8362,39.46,-74.99,4,0,,
New Jersey,Atlantic County,8401,39.36,-74.42,190,4.88,3.39,"38,925"
New Jersey,Atlantic County,8402,39.33,-74.5,242,46.24,,"5,234"
New Jersey,Atlantic County,8403,39.32,-74.54,54,51.63,,"1,046"
New Jersey,Atlantic County,8404,39.36,-74.42,3,0,,
New Jersey,Atlantic County,8405,39.36,-74.42,,,,
New Jersey,Atlantic County,8406,39.34,-74.48,187,20.84,93.5,"8,972"
New Jersey,Monmouth County,8501,40.17,-74.58,213,33.47,,"6,364"
New Jersey,Somerset County,8502,40.46,-74.64,"1,118",94.35,,"11,849"
New Jersey,Somerset County,8504,40.4,-74.7,5,0,,
New Jersey,Burlington County,8505,40.14,-74.7,488,25.49,244,"19,142"
New Jersey,Monmouth County,8510,40.19,-74.42,225,41.77,112.5,"5,386"
New Jersey,Burlington County,8511,40.04,-74.55,7,7.17,,976
New Jersey,Mercer County,8512,40.31,-74.51,785,60.72,,"12,928"
New Jersey,Monmouth County,8514,40.14,-74.49,169,34.37,,"4,917"
New Jersey,Burlington County,8515,40.15,-74.66,459,54.82,,"8,373"
New Jersey,Burlington County,8518,40.11,-74.8,142,21.82,,"6,508"
New Jersey,Mercer County,8520,40.26,-74.52,"1,090",36.94,121.11,"29,504"
New Jersey,Mercer County,8525,40.38,-74.76,279,61.7,139.5,"4,522"
New Jersey,Monmouth County,8526,40.16,-74.49,2,0,,
New Jersey,Ocean County,8527,40.1,-74.35,"1,702",28.85,212.75,"58,991"
New Jersey,Somerset County,8528,40.39,-74.62,13,40.5,4.33,321
New Jersey,Hunterdon County,8530,40.36,-74.94,262,32.27,131,"8,119"
New Jersey,Ocean County,8533,40.06,-74.53,125,16.53,,"7,563"
New Jersey,Mercer County,8534,40.32,-74.79,910,68.57,36.4,"13,272"
New Jersey,Monmouth County,8535,40.21,-74.44,278,55.61,,"4,999"
New Jersey,Middlesex County,8536,40.33,-74.58,"1,366",65.62,28.46,"20,817"
New Jersey,Mercer County,8540,40.35,-74.65,"4,262",84.58,44.4,"50,388"
New Jersey,Mercer County,8541,40.35,-74.65,,,,
New Jersey,Mercer County,8542,40.35,-74.66,148,58.43,18.5,"2,533"
New Jersey,Mercer County,8543,40.35,-74.65,22,0,,
New Jersey,Mercer County,8544,40.35,-74.66,6,1.37,,"4,392"
New Jersey,Mercer County,8550,40.28,-74.61,"1,968",93.42,492,"21,067"
New Jersey,Hunterdon County,8551,40.44,-74.82,215,36.61,,"5,873"
New Jersey,Somerset County,8553,40.4,-74.63,35,42.74,,819
New Jersey,Burlington County,8554,40.12,-74.78,37,10.49,,"3,527"
New Jersey,Monmouth County,8555,40.22,-74.47,31,31.12,,996
New Jersey,Hunterdon County,8556,40.42,-74.99,4,0,,
New Jersey,Hunterdon County,8557,40.45,-74.94,4,0,,
New Jersey,Somerset County,8558,40.41,-74.7,828,108.26,63.69,"7,648"
New Jersey,Hunterdon County,8559,40.4,-74.97,161,33.29,32.2,"4,836"
New Jersey,Mercer County,8560,40.31,-74.86,273,84.13,,"3,245"
New Jersey,Mercer County,8561,40.25,-74.58,15,46.15,,325
New Jersey,Burlington County,8562,40.06,-74.59,73,17.38,,"4,201"
New Jersey,Mercer County,8601,40.22,-74.76,2,0,,
New Jersey,Mercer County,8602,40.22,-74.76,9,0,,
New Jersey,Mercer County,8603,40.22,-74.76,1,0,,
New Jersey,Mercer County,8604,40.22,-74.76,,,,
New Jersey,Mercer County,8605,40.22,-74.76,,,,
New Jersey,Mercer County,8606,40.22,-74.76,1,0,,
New Jersey,Mercer County,8607,40.22,-74.76,1,0,,
New Jersey,Mercer County,8608,40.22,-74.76,11,8.8,,"1,250"
New Jersey,Mercer County,8609,40.23,-74.74,39,2.45,5.57,"15,938"
New Jersey,Mercer County,8610,40.19,-74.72,280,8.37,,"33,465"
New Jersey,Mercer County,8611,40.18,-74.74,84,2.63,14,"31,995"
New Jersey,Mercer County,8618,40.25,-74.79,251,7.04,125.5,"35,634"
New Jersey,Mercer County,8619,40.24,-74.7,473,19.64,47.3,"24,089"
New Jersey,Mercer County,8620,40.17,-74.65,233,20.05,,"11,621"
New Jersey,Mercer County,8625,40.22,-74.76,419,0,,
New Jersey,Mercer County,8628,40.26,-74.83,265,26.96,18.93,"9,831"
New Jersey,Mercer County,8629,40.22,-74.73,48,3.69,,"13,013"
New Jersey,Mercer County,8638,40.25,-74.76,238,10.43,59.5,"22,816"
New Jersey,Burlington County,8640,40,-74.59,33,4.13,,"7,984"
New Jersey,Burlington County,8641,40.02,-74.59,77,17.5,,"4,400"
New Jersey,Mercer County,8644,40.22,-74.76,,,,
New Jersey,Mercer County,8645,40.22,-74.76,,,,
New Jersey,Mercer County,8646,40.22,-74.76,,,,
New Jersey,Mercer County,8647,40.22,-74.76,,,,
New Jersey,Mercer County,8648,40.28,-74.72,"1,248",39.84,73.41,"31,323"
New Jersey,Mercer County,8650,40.22,-74.76,2,0,,
New Jersey,Mercer County,8666,40.22,-74.76,1,0,,
New Jersey,Mercer County,8690,40.22,-74.66,416,22.08,37.82,"18,841"
New Jersey,Mercer County,8691,40.21,-74.59,"1,045",62.93,74.64,"16,607"
New Jersey,Mercer County,8695,40.22,-74.76,,,,
New Jersey,Ocean County,8701,40.09,-74.21,"3,735",26.84,133.39,"139,149"
New Jersey,Monmouth County,8720,40.13,-74.09,41,55.78,,735
New Jersey,Ocean County,8721,39.91,-74.21,425,18.65,,"22,783"
New Jersey,Ocean County,8722,39.92,-74.2,178,16.05,,"11,088"
New Jersey,Ocean County,8723,40.04,-74.11,573,17.83,191,"32,141"
New Jersey,Ocean County,8724,40.06,-74.11,650,15.35,162.5,"42,345"
New Jersey,Monmouth County,8730,40.1,-74.06,165,33.29,,"4,956"
New Jersey,Ocean County,8731,39.84,-74.19,382,17.66,54.57,"21,629"
New Jersey,Ocean County,8732,39.94,-74.14,46,29.53,,"1,558"
New Jersey,Ocean County,8733,40.01,-74.32,27,9.59,13.5,"2,816"
New Jersey,Ocean County,8734,39.86,-74.16,122,15.48,,"7,879"
New Jersey,Ocean County,8735,39.98,-74.07,109,31.59,,"3,451"
New Jersey,Monmouth County,8736,40.11,-74.03,363,27.45,,"13,223"
New Jersey,Ocean County,8738,40.02,-74.06,68,49.24,,"1,381"
New Jersey,Ocean County,8739,40,-74.06,6,0,,
New Jersey,Ocean County,8740,39.93,-74.13,26,16.26,,"1,599"
New Jersey,Ocean County,8741,39.93,-74.17,67,24.73,,"2,709"
New Jersey,Ocean County,8742,40.09,-74.04,547,21.26,78.14,"25,732"
New Jersey,Monmouth County,8750,40.12,-74.03,148,42.49,,"3,483"
New Jersey,Ocean County,8751,39.94,-74.07,66,15.77,5.5,"4,185"
New Jersey,Ocean County,8752,39.79,-74.09,51,21.81,,"2,338"
New Jersey,Ocean County,8753,39.95,-74.18,"1,240",18.95,51.67,"65,448"
New Jersey,Ocean County,8754,39.95,-74.18,20,0,,
New Jersey,Ocean County,8755,40.01,-74.22,"1,107",37.31,34.59,"29,670"
New Jersey,Ocean County,8756,39.95,-74.18,1,0,,
New Jersey,Ocean County,8757,39.94,-74.25,437,12.11,,"36,087"
New Jersey,Ocean County,8758,39.78,-74.19,137,17.41,22.83,"7,868"
New Jersey,Ocean County,8759,39.93,-74.39,436,12.73,218,"34,237"
New Jersey,Hunterdon County,8801,40.62,-74.89,252,34.68,,"7,267"
New Jersey,Hunterdon County,8802,40.67,-75.02,111,24.38,,"4,552"
New Jersey,Hunterdon County,8803,40.49,-75,1,0,,
New Jersey,Hunterdon County,8804,40.65,-75.08,52,15.01,,"3,465"
New Jersey,Somerset County,8805,40.56,-74.53,226,16.07,15.07,"14,066"
New Jersey,Somerset County,8807,40.59,-74.62,"1,910",48.28,106.11,"39,560"
New Jersey,Warren County,8808,40.73,-75.05,2,17.09,,117
New Jersey,Hunterdon County,8809,40.63,-74.91,187,27.9,15.58,"6,703"
New Jersey,Middlesex County,8810,40.38,-74.51,634,79.73,105.67,"7,952"
New Jersey,Middlesex County,8812,40.6,-74.48,533,37.47,,"14,224"
New Jersey,Middlesex County,8816,40.42,-74.41,"2,703",54.76,56.31,"49,360"
New Jersey,Middlesex County,8817,40.51,-74.39,"1,553",31.68,44.37,"49,020"
New Jersey,Middlesex County,8818,40.52,-74.36,14,0,,
New Jersey,Middlesex County,8820,40.58,-74.37,"3,360",84.05,336,"39,978"
New Jersey,Somerset County,8821,40.52,-74.69,9,31.8,,283
New Jersey,Hunterdon County,8822,40.5,-74.86,"1,133",34.8,188.83,"32,556"
New Jersey,Somerset County,8823,40.44,-74.54,435,48.96,18.13,"8,884"
New Jersey,Middlesex County,8824,40.42,-74.55,991,74.14,,"13,366"
New Jersey,Hunterdon County,8825,40.52,-75.05,109,23.02,,"4,735"
New Jersey,Hunterdon County,8826,40.69,-74.94,121,22.17,,"5,459"
New Jersey,Hunterdon County,8827,40.7,-74.96,130,29.91,,"4,346"
New Jersey,Middlesex County,8828,40.38,-74.42,47,19.11,,"2,459"
New Jersey,Hunterdon County,8829,40.66,-74.89,86,24.02,,"3,580"
New Jersey,Middlesex County,8830,40.57,-74.31,854,43.68,31.63,"19,551"
New Jersey,Middlesex County,8831,40.34,-74.44,"3,974",71.4,331.17,"55,658"
New Jersey,Middlesex County,8832,40.51,-74.31,28,12.43,2.33,"2,252"
New Jersey,Hunterdon County,8833,40.64,-74.83,398,43.34,99.5,"9,184"
New Jersey,Hunterdon County,8834,40.6,-75.05,,,,
New Jersey,Somerset County,8835,40.54,-74.58,133,12.18,,"10,921"
New Jersey,Somerset County,8836,40.6,-74.56,224,58.11,,"3,855"
New Jersey,Middlesex County,8837,40.52,-74.36,649,33.39,108.17,"19,437"
New Jersey,Middlesex County,8840,40.54,-74.36,729,40.04,66.27,"18,206"
New Jersey,Somerset County,8844,40.47,-74.62,"2,320",52.18,136.47,"44,463"
New Jersey,Middlesex County,8846,40.57,-74.5,271,18.5,135.5,"14,645"
New Jersey,Hunterdon County,8848,40.56,-75.09,157,19.3,,"8,134"
New Jersey,Middlesex County,8850,40.45,-74.43,261,30.57,,"8,538"
New Jersey,Middlesex County,8852,40.38,-74.54,"1,557",86.2,119.77,"18,062"
New Jersey,Somerset County,8853,40.53,-74.74,211,37.45,,"5,634"
New Jersey,Middlesex County,8854,40.51,-74.45,"2,300",37.65,71.88,"61,088"
New Jersey,Middlesex County,8855,40.51,-74.45,4,0,,
New Jersey,Middlesex County,8857,40.39,-74.33,"1,539",37.64,109.93,"40,891"
New Jersey,Hunterdon County,8858,40.68,-74.74,28,1400,,20
New Jersey,Middlesex County,8859,40.46,-74.3,621,24.4,,"25,448"
New Jersey,Middlesex County,8861,40.52,-74.27,412,6.94,,"59,351"
New Jersey,Middlesex County,8862,40.52,-74.27,3,0,,
New Jersey,Middlesex County,8863,40.54,-74.31,308,24.12,,"12,771"
New Jersey,Warren County,8865,40.68,-75.18,308,9.8,,"31,427"
New Jersey,Hunterdon County,8867,40.57,-74.96,209,40.16,,"5,204"
New Jersey,Hunterdon County,8868,40.55,-74.94,,,,
New Jersey,Somerset County,8869,40.57,-74.64,229,27.37,12.05,"8,368"
New Jersey,Hunterdon County,8870,40.57,-74.73,,,,
New Jersey,Middlesex County,8871,40.46,-74.32,,,,
New Jersey,Middlesex County,8872,40.44,-74.36,525,25.98,,"20,204"
New Jersey,Somerset County,8873,40.49,-74.48,"2,209",39.22,61.36,"56,327"
New Jersey,Somerset County,8875,40.49,-74.48,3,0,,
New Jersey,Somerset County,8876,40.57,-74.61,777,33.23,29.88,"23,380"
New Jersey,Middlesex County,8879,40.47,-74.29,511,21.69,85.17,"23,556"
New Jersey,Somerset County,8880,40.55,-74.52,117,24.04,,"4,867"
New Jersey,Middlesex County,8882,40.44,-74.37,276,17.12,138,"16,124"
New Jersey,Middlesex County,8884,40.39,-74.39,170,20.76,,"8,187"
New Jersey,Hunterdon County,8885,40.58,-74.81,2,0,,
New Jersey,Warren County,8886,40.69,-75.1,162,25.17,7.36,"6,435"
New Jersey,Hunterdon County,8887,40.52,-74.8,18,13.04,,"1,380"
New Jersey,Hunterdon County,8888,40.62,-74.76,2,0,,
New Jersey,Hunterdon County,8889,40.6,-74.76,361,35.42,,"10,193"
New Jersey,Somerset County,8890,40.54,-74.58,1,58.82,,17
New Jersey,Middlesex County,8899,40.52,-74.36,,,,
New Jersey,Middlesex County,8901,40.48,-74.44,411,7.18,8.39,"57,263"
New Jersey,Middlesex County,8902,40.45,-74.48,"1,577",35.9,68.57,"43,932"
New Jersey,Middlesex County,8903,40.48,-74.44,2,0,,
New Jersey,Middlesex County,8904,40.5,-74.42,473,31.28,236.5,"15,121"
New Jersey,Middlesex County,8905,40.48,-74.44,,,,
New Jersey,Middlesex County,8906,40.48,-74.44,3,0,,
New Jersey,Middlesex County,8922,40.48,-74.45,,,,
New Jersey,Middlesex County,8933,40.48,-74.44,2,0,,
New Jersey,Middlesex County,8988,40.45,-74.48,,,,
New Jersey,Middlesex County,8989,40.48,-74.44,,,,
